id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size,test_suite
20250113185014,0,1,0,0,0,datasets/covid,,alex,6185967,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113185039,1,0,0,0,0,datasets/covid,,alex,7951706,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113185211,0,1,0,0,0,datasets/covid,,alex,3341355,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113185235,1,0,0,0,0,datasets/covid,,alex,8443234,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113185401,0,1,0,0,0,datasets/covid,,alex,6096448,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113185426,1,0,0,0,0,datasets/covid,,alex,8122841,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113185602,0,1,0,0,0,datasets/covid,,alex,2905633,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113185627,1,0,0,0,0,datasets/covid,,alex,8293649,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113191042,0,1,0,0,0,datasets/fb-1,,alex,235051,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113191231,1,0,0,0,0,datasets/fb-1,,alex,1827574,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113191454,0,1,0,0,0,datasets/fb-1,,alex,203408,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113191643,1,0,0,0,0,datasets/fb-1,,alex,1828992,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113191905,0,1,0,0,0,datasets/fb-1,,alex,435165,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113192055,1,0,0,0,0,datasets/fb-1,,alex,1814187,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113192318,0,1,0,0,0,datasets/fb-1,,alex,337269,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113192508,1,0,0,0,0,datasets/fb-1,,alex,1816401,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113192730,0,1,0,0,0,datasets/fb-1,,alex,1009126,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113192920,1,0,0,0,0,datasets/fb-1,,alex,1812260,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113193144,0,1,0,0,0,datasets/fb-1,,alex,595211,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113193335,1,0,0,0,0,datasets/fb-1,,alex,1808051,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113193611,0,1,0,0,0,datasets/fb-1,,alex,2063611,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113193802,1,0,0,0,0,datasets/fb-1,,alex,1802759,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113194044,0,1,0,0,0,datasets/fb-1,,alex,853555,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113194235,1,0,0,0,0,datasets/fb-1,,alex,1798343,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
