id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,fitness_of_dataset,fitness_of_bulkload,fitness_of_insert,error_bound,table_size,test_suite,preload_suite,partition_method,partition_num
20250114195846,0,1,0,0,0,datasets/fb-1,,btreeolc,106927466,20000000,0.99,6932568648,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114195857,1,0,0,0,0,datasets/fb-1,,btreeolc,19181995,20000000,0.99,6932568648,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114195932,0,1,0,0,0,datasets/fb-1,,btreeolc,17438127,20000000,0.99,5020161720,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114195943,1,0,0,0,0,datasets/fb-1,,btreeolc,19108632,20000000,0.99,5020161720,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114200014,0,1,0,0,0,datasets/fb-1,,btreeolc,109940144,50000000,0.99,6238166800,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114200025,1,0,0,0,0,datasets/fb-1,,btreeolc,19416291,50000000,0.99,6238166800,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114200101,0,1,0,0,0,datasets/fb-1,,btreeolc,17151215,50000000,0.99,5014957008,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114200111,1,0,0,0,0,datasets/fb-1,,btreeolc,19626145,50000000,0.99,5014957008,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114200147,0,1,0,0,0,datasets/fb-1,,btreeolc,125677794,100000000,0.99,4977886696,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114200157,1,0,0,0,0,datasets/fb-1,,btreeolc,19471884,100000000,0.99,4977886696,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114200235,0,1,0,0,0,datasets/fb-1,,btreeolc,17033896,100000000,0.99,4959055416,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114200245,1,0,0,0,0,datasets/fb-1,,btreeolc,19432124,100000000,0.99,4959055416,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114200311,0,1,0,0,0,datasets/fb-1,,btreeolc,105418656,1000000,0.99,7402668080,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,0,direct,1
20250114200321,1,0,0,0,0,datasets/fb-1,,btreeolc,19275011,1000000,0.99,7402668080,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,0,direct,1
20250114200405,0,1,0,0,0,datasets/fb-1,,btreeolc,17800548,1000000,0.99,5049651008,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,0,direct,1
20250114200415,1,0,0,0,0,datasets/fb-1,,btreeolc,19142991,1000000,0.99,5049651008,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,0,direct,1
20250114200441,0,1,0,0,0,datasets/fb-1,,btreeolc,104613797,2000000,0.99,7402604032,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,0,direct,1
20250114200451,1,0,0,0,0,datasets/fb-1,,btreeolc,19279319,2000000,0.99,7402604032,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,0,direct,1
20250114200535,0,1,0,0,0,datasets/fb-1,,btreeolc,17747059,2000000,0.99,5062335528,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,0,direct,1
20250114200545,1,0,0,0,0,datasets/fb-1,,btreeolc,19158997,2000000,0.99,5062335528,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,0,direct,1
20250114200611,0,1,0,0,0,datasets/fb-1,,btreeolc,104525614,5000000,0.99,7402929608,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,0,direct,1
20250114200621,1,0,0,0,0,datasets/fb-1,,btreeolc,19227633,5000000,0.99,7402929608,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,0,direct,1
20250114200705,0,1,0,0,0,datasets/fb-1,,btreeolc,17759307,5000000,0.99,5099124968,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,0,direct,1
20250114200715,1,0,0,0,0,datasets/fb-1,,btreeolc,19168844,5000000,0.99,5099124968,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,0,direct,1
20250114200741,0,1,0,0,0,datasets/fb-1,,btreeolc,103605164,10000000,0.99,7403380136,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,0,direct,1
20250114200752,1,0,0,0,0,datasets/fb-1,,btreeolc,19252928,10000000,0.99,7403380136,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,0,direct,1
20250114200835,0,1,0,0,0,datasets/fb-1,,btreeolc,17781419,10000000,0.99,5156926568,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,0,direct,1
20250114200845,1,0,0,0,0,datasets/fb-1,,btreeolc,19154141,10000000,0.99,5156926568,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,0,direct,1
20250114200912,0,1,0,0,0,datasets/fb-1,,btreeolc,103814467,20000000,0.99,7404228848,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,0,direct,1
20250114200922,1,0,0,0,0,datasets/fb-1,,btreeolc,19229322,20000000,0.99,7404228848,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,0,direct,1
20250114201005,0,1,0,0,0,datasets/fb-1,,btreeolc,17844666,20000000,0.99,5276113464,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,0,direct,1
20250114201015,1,0,0,0,0,datasets/fb-1,,btreeolc,19135327,20000000,0.99,5276113464,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,0,direct,1
20250114201044,0,1,0,0,0,datasets/fb-1,,btreeolc,102894796,50000000,0.99,7407072520,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,0,direct,1
20250114201054,1,0,0,0,0,datasets/fb-1,,btreeolc,19178194,50000000,0.99,7407072520,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,0,direct,1
20250114201136,0,1,0,0,0,datasets/fb-1,,btreeolc,18198957,50000000,0.99,5633217512,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,0,direct,1
20250114201147,1,0,0,0,0,datasets/fb-1,,btreeolc,19055549,50000000,0.99,5633217512,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,0,direct,1
20250114201219,0,1,0,0,0,datasets/fb-1,,btreeolc,101827512,100000000,0.99,7411628592,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,0,direct,1
20250114201230,1,0,0,0,0,datasets/fb-1,,btreeolc,18942894,100000000,0.99,7411628592,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,0,direct,1
20250114201311,0,1,0,0,0,datasets/fb-1,,btreeolc,19163136,100000000,0.99,6228961600,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,0,direct,1
20250114201321,1,0,0,0,0,datasets/fb-1,,btreeolc,18999384,100000000,0.99,6228961600,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,0,direct,1
20250114201400,0,1,0,0,0,datasets/osm,,btreeolc,13020875,200000000,0.99,7420950696,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10,0,direct,1
20250114201411,1,0,0,0,0,datasets/osm,,btreeolc,18802940,200000000,0.99,7420950696,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10,0,direct,1
20250114201440,0,1,0,0,0,datasets/osm,,btreeolc,105147277,0,0.99,7402425368,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114201450,1,0,0,0,0,datasets/osm,,btreeolc,19294108,0,0.99,7402425368,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114201525,0,1,0,0,0,datasets/osm,,btreeolc,17737779,0,0.99,5038585072,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114201535,1,0,0,0,0,datasets/osm,,btreeolc,19106529,0,0.99,5038585072,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114201604,0,1,0,0,0,datasets/osm,,btreeolc,105408282,1000000,0.99,7375977600,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114201615,1,0,0,0,0,datasets/osm,,btreeolc,19249348,1000000,0.99,7375977600,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114201649,0,1,0,0,0,datasets/osm,,btreeolc,17668109,1000000,0.99,5047321136,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114201700,1,0,0,0,0,datasets/osm,,btreeolc,19224755,1000000,0.99,5047321136,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114201728,0,1,0,0,0,datasets/osm,,btreeolc,106155174,2000000,0.99,7351773856,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114201739,1,0,0,0,0,datasets/osm,,btreeolc,19236752,2000000,0.99,7351773856,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114201813,0,1,0,0,0,datasets/osm,,btreeolc,17729641,2000000,0.99,5049308032,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
