id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,fitness_of_dataset,fitness_of_bulkload,fitness_of_insert,error_bound,table_size,test_suite
20241126182712,1,0,0,0,0,datasets/covid,,btreeolc,5515385,100000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126182752,0,1,0,0,0,datasets/covid,,btreeolc,83528501,100000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126182810,1,0,0,0,0,datasets/covid,,btreeolc,10729153,100000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126182848,0,1,0,0,0,datasets/covid,,btreeolc,128902700,100000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126182859,1,0,0,0,0,datasets/covid,,btreeolc,19445950,100000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126183113,0,1,0,0,0,datasets/covid,,btreeolc,1329413,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126183337,1,0,0,0,0,datasets/covid,,btreeolc,1387440,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126183500,0,1,0,0,0,datasets/covid,,btreeolc,2637364,100000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126183612,1,0,0,0,0,datasets/covid,,btreeolc,2797233,100000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126183711,0,1,0,0,0,datasets/covid,,btreeolc,5081063,100000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126183747,1,0,0,0,0,datasets/covid,,btreeolc,5524020,100000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126183834,0,1,0,0,0,datasets/covid,,btreeolc,9891229,100000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126183853,1,0,0,0,0,datasets/covid,,btreeolc,10766337,100000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126183934,0,1,0,0,0,datasets/covid,,btreeolc,17055454,100000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126183944,1,0,0,0,0,datasets/covid,,btreeolc,19280112,100000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126184042,0,1,0,0,0,datasets/covid,,btreeolc,12087134,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41
20241126184311,1,0,0,0,0,datasets/covid,,btreeolc,1347238,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41
20241126184356,0,1,0,0,0,datasets/covid,,btreeolc,22205606,100000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41
20241126184510,1,0,0,0,0,datasets/covid,,btreeolc,2713771,100000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41
20241126184549,0,1,0,0,0,datasets/covid,,btreeolc,39266526,100000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41
